site name,site code,state,system,subsite,latitude,longitude,biome_id,biome_name,environmental_feature_id,environmental_feature_name
Above,A,ME,Penobscot River,,44.76309,-68.80048,,,,
Barn Island,BI-H,CT,Long Island Sound,HOC,41.34012,-71.87455,,,,
Barn Island,BI-L,CT,Long Island Sound,LOC,41.33838,-71.87983,,,,
Bass Harbor,BH-H,ME,Mt. Desert Island,HOC,44.25353,-68.3413,,,,
Bass Harbor,BH-L,ME,Mt. Desert Island,LOC,44.25297,-68.34876,,,,
Buttonwood,BW,DE,Delaware River,,39.45947,-75.50899,,,,
Cedar Creek,SB-H,DE,Delaware River,HOC,38.94524,-75.31839,,,,
Drake's Island,DI-H,ME,Webhannet River,HOC,43.33027,-70.55853,,,,
Drake's Island,DI-L,ME,Webhannet River,LOC,43.32265,-70.55818,,,,
Duck Creek,WB-H,DE,Delaware River,HOC,39.32567,-75.47513,,,,
East Union,EU,NJ,Berry's Creek,,40.82057,-74.08614,,,,
Fortescue,FS,DE,Delaware River,,39.22282,-75.16595,,,,
Gen Chem,GC,DE,Delaware River,,39.80062,-75.43884,,,,
Goshen,GC-H,CT,Long Island Sound,HOC,41.30648,-72.11813,,,,
Goshen,GC-L,CT,Long Island Sound,LOC,41.30193,-72.11815,,,,
Goshen Cove,GC-H,CT,Long Island Sound,HOC,41.30648,-72.11813,,,,
Goshen Cove,GC-L,CT,Long Island Sound,LOC,41.30193,-72.11815,,,,
Jefferson Patterson,JP-H,MD,Chesapeake,HOC,38.38972,-76.5069,,,,
Jefferson Patterson,JP-L,MD,Chesapeake,LOC,38.39,-76.5065,,,,
Laurel Hill,LH,NJ,Hackensack River,,40.7627,-74.08808,,,,
Luken's Marsh,LM,DE,Delaware River,,39.68551,-75.53755,,,,
Marsh,M,ME,Penobscot River,,44.59109,-68.86432,,,,
Moose Point,MP,ME,Penobscot River,,44.43203,-68.94191,,,,
North Beach,NB,DE,Delaware River,,39.12737,-74.88814,,,,
Northeast Creek,NEC-H,ME,Mt. Desert Island,HOC,44.4238,-68.32529,,,,
Northeast Creek,NEC-L,ME,Mt. Desert Island,LOC,44.4258,-68.33067,,,,
Orrington,O,ME,Penobscot River,,44.69021,-68.81847,,,,
Parker's Creek,PC-H,MD,Chesapeake,HOC,38.53542,-76.526,,,,
Parker's Creek,PC-L,MD,Chesapeake,LOC,38.53622,-76.5175,,,,
Penn Treaty,PT,DE,Delaware River,,39.96545,-75.12945,,,,
Pennsville Landfill,PL,DE,Delaware River,,39.63783,-75.54769,,,,
Route 3 Underpass,3A,NJ,Berry's Creek,,40.81124,-74.09121,,,,
Rutkowski Park,RP,NJ,Hackensack River,,40.68846,-74.11045,,,,
S. of Lukens,SL,DE,Delaware River,,39.67383,-75.5479,,,,
Sea Breeze,SB,DE,Delaware River,,39.31878,-75.31812,,,,
Sea Mist,SM-H,ME,Webhannet River,HOC,43.29498,-70.58145,,,,
Sea Mist,SM-L,ME,Webhannet River,LOC,43.29514,-70.58253,,,,
Slaughter Beach,SB-L,DE,Delaware River,LOC,38.92772,-75.31368,,,,
Stiletto's,ST,NJ,Berry's Creek,,40.82857,-74.07998,,,,
Timber Blvd,TB,DE,Delaware River,,39.88037,-75.12694,,,,
Verona,V,ME,Penobscot River,,44.56907,-68.79124,,,,
Veteran's Park,VP,NJ,Hackensack River,,40.67028,-74.12708,,,,
Woodland Beach,WB-L,DE,Delaware River,LOC,39.33074,-75.4688,,,,
